y,x,street_count,highway,ref,geometry
-11.9857318,-77.059879,3,N/A,N/A,POINT (-77.059879 -11.9857318)
-11.9855683,-77.0588037,3,N/A,N/A,POINT (-77.0588037 -11.9855683)
-11.9854888,-77.0583393,4,N/A,N/A,POINT (-77.0583393 -11.9854888)
-11.9854139,-77.0579388,3,traffic_signals,N/A,POINT (-77.0579388 -11.9854139)
-11.9862739,-77.0642099,3,N/A,N/A,POINT (-77.0642099 -11.9862739)
-11.9853075,-77.0579647,3,N/A,N/A,POINT (-77.0579647 -11.9853075)
-11.986593,-77.0625521,3,N/A,N/A,POINT (-77.0625521 -11.986593)
-11.9873015,-77.0624492,3,N/A,N/A,POINT (-77.0624492 -11.9873015)
-11.9870675,-77.0635951,3,N/A,N/A,POINT (-77.0635951 -11.9870675)
-11.9867479,-77.0636443,3,N/A,N/A,POINT (-77.0636443 -11.9867479)
-11.9871496,-77.0600401,3,N/A,N/A,POINT (-77.0600401 -11.9871496)
-11.9870502,-77.0594309,3,N/A,N/A,POINT (-77.0594309 -11.9870502)
-11.9861845,-77.0598117,4,N/A,N/A,POINT (-77.0598117 -11.9861845)
-11.9866493,-77.0597426,3,N/A,N/A,POINT (-77.0597426 -11.9866493)
-11.9863776,-77.0610536,3,N/A,N/A,POINT (-77.0610536 -11.9863776)
-11.9860142,-77.0587163,3,N/A,N/A,POINT (-77.0587163 -11.9860142)
-11.9882407,-77.0573891,3,N/A,N/A,POINT (-77.0573891 -11.9882407)
-11.9838095,-77.0606424,3,N/A,N/A,POINT (-77.0606424 -11.9838095)
-11.9842775,-77.0605637,3,N/A,N/A,POINT (-77.0605637 -11.9842775)
-11.9847405,-77.0604853,3,N/A,N/A,POINT (-77.0604853 -11.9847405)
-11.9852035,-77.0604069,3,N/A,N/A,POINT (-77.0604069 -11.9852035)
-11.9856782,-77.0603287,3,N/A,N/A,POINT (-77.0603287 -11.9856782)
-11.9849958,-77.058936,3,N/A,N/A,POINT (-77.058936 -11.9849958)
-11.9845487,-77.0590316,3,N/A,N/A,POINT (-77.0590316 -11.9845487)
-11.9840752,-77.0591328,3,N/A,N/A,POINT (-77.0591328 -11.9840752)
-11.9838805,-77.0611335,3,N/A,N/A,POINT (-77.0611335 -11.9838805)
-11.9836058,-77.0592331,3,N/A,N/A,POINT (-77.0592331 -11.9836058)
-11.9853759,-77.058364,4,N/A,N/A,POINT (-77.058364 -11.9853759)
-11.9854529,-77.0588421,3,N/A,N/A,POINT (-77.0588421 -11.9854529)
